City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
399,Bitung,ID,1.4451,125.1824,85.05,72,98,3.6,overcast clouds
400,Boralday,KZ,43.3578,76.8594,19.26,93,40,4.47,mist
401,Vestmannaeyjar,IS,63.4427,-20.2734,37.36,82,100,11.56,overcast clouds
402,Truckee,US,39.328,-120.1833,58.77,28,1,0.0,clear sky
403,Okha,RU,53.5739,142.9478,29.16,70,88,20.04,overcast clouds
404,Lasa,IT,46.6166,10.7002,36.86,96,100,2.21,light rain
405,Xining,CN,36.6167,101.7667,28.22,39,23,1.25,few clouds
406,Luderitz,NA,-26.6481,15.1594,59.5,87,1,3.4,clear sky
407,Lensk,RU,60.7253,114.9278,3.83,90,99,8.1,overcast clouds
408,Tokmak,UA,47.2514,35.7058,46.4,97,13,8.57,few clouds
409,Envira,BR,-7.3,-70.2167,76.26,85,99,1.36,overcast clouds
410,Tsiroanomandidy,MG,-18.7667,46.0333,68.05,72,25,1.45,scattered clouds
411,Martinsville,US,36.6915,-79.8725,48.02,55,1,0.0,clear sky
412,Sakakah,SA,29.9697,40.2064,54.97,48,12,5.55,few clouds
413,Kismayo,SO,-0.3582,42.5454,78.78,79,87,1.41,overcast clouds
414,Te Anau,NZ,-45.4167,167.7167,58.98,54,66,2.71,broken clouds
415,Kanye,BW,-24.9667,25.3327,60.01,74,98,12.88,light rain
416,Prince Rupert,CA,54.3161,-130.3201,50.09,83,90,18.41,overcast clouds
417,Saint-Georges,GD,12.0564,-61.7485,79.38,84,34,10.16,scattered clouds
418,Whitehaven,GB,54.549,-3.5841,36.55,61,68,15.86,broken clouds
419,Hamilton,US,39.1834,-84.5333,45.79,72,20,0.0,few clouds
420,Dvinskoy,RU,62.1535,45.1175,20.37,95,100,7.4,light snow
421,Pontal Do Parana,BR,-25.6533,-48.5128,75.09,91,2,3.83,clear sky
422,Pemba,MZ,-12.974,40.5178,75.9,83,20,10.36,few clouds
423,Arauco,CL,-37.2463,-73.3175,59.02,69,1,12.75,clear sky
424,Ikongo,MG,-21.8833,47.4333,62.8,97,100,2.93,light rain
425,Shache,CN,38.4167,77.2406,27.93,46,97,2.68,overcast clouds
426,Gambela,ET,8.25,34.5833,76.17,52,3,3.29,clear sky
427,Dhidhdhoo,MV,6.8833,73.1,80.38,80,100,11.54,overcast clouds
428,Taoudenni,ML,22.6783,-3.9836,70.39,29,35,14.85,scattered clouds
429,Acarau,BR,-2.8856,-40.12,80.53,79,58,14.34,broken clouds
430,Lattes,FR,43.5675,3.9046,42.76,70,0,10.36,clear sky
431,Cascais,PT,38.6979,-9.4215,49.86,58,72,19.82,broken clouds
432,Bairnsdale,AU,-37.8333,147.6167,64.04,50,14,8.32,few clouds
433,Quelimane,MZ,-17.8786,36.8883,71.55,88,40,2.3,scattered clouds
434,Cidreira,BR,-30.1811,-50.2056,69.13,94,67,8.55,broken clouds
435,Laguna,US,38.421,-121.4238,67.84,50,1,0.0,clear sky
436,Kijang,KR,35.2442,129.2139,40.73,55,0,4.25,clear sky
437,Rawson,AR,-43.3002,-65.1023,58.32,73,4,11.72,clear sky
438,Usinsk,RU,65.9939,57.5281,-12.26,100,45,4.09,scattered clouds
439,Saveh,IR,35.0213,50.3566,51.49,46,16,4.76,few clouds
440,Linguere,SN,15.3953,-15.1193,84.42,37,0,6.91,clear sky
441,Yining,CN,29.0361,114.5636,48.31,77,6,0.45,clear sky
442,Middelharnis,NL,51.7575,4.1653,46.38,87,91,8.97,overcast clouds
443,Rio Grande,BR,-32.035,-52.0986,68.63,91,74,10.78,broken clouds
444,Fort Walton Beach,US,30.4058,-86.6188,55.74,60,20,0.0,few clouds
